48.44 58.62 80.1 108.38 77.68 74.67 29.7263 55.52 63.16 245.99 66.93 50.63 37.5 91.58 42.43 30.83 103.16 1451 7994 1949 2688 14.8613 51.59 44.15 18.63 45.975 23.1 99.531 20.8 52.85
48.16 58.77 80.68 108.68 78.51 75.37 29.81 56.46 63.63 245.99 67.24 50.64 37.49 92.04 42.92 31 104.41 1437 8015 1936 2697 14.7775 51.47 43.37 18.335 45.805 23.07 99.99 20.78 52.85
48.44 58.11 80.33 108.32 77.81 75.42 30.14 56.9 63.21 245.53 66.43 50.79 37.23 91.39 43.13 30.81 103.35 1451 7945 1943 2697 14.5112 51.41 42.515 18.33 44.86 22.875 98.62 20.63 52.23
48.5 57.65 79.25 107.18 76.39 74.94 29.77 55.71 62.63 241.03 65.87 50.13 37.14 90.63 41.52 30.27 102.13 1459 7946 1919 2619 14.3781 53.17 42.425 18.575 44.595 22.675 98.29 20.67 53.2
48.74 57.97 79.49 107.45 76.05 74.14 29.46 55.67 63.47 241.73 64.9 49.96 37.11 90.74 41.72 30.64 102.3 1464 7950 1890 2587 13.9886 52.92 41.615 18.495 43.85 22.48 97.5 20.4 53
48.79 57.82 79.1 107.26 75.65 73.17 29.86 56.11 64.28 241.48 64.82 49.96 37.63 90.41 42.44 30.65 101.64 1446 7912 1902 2611 14.171 53.2 41.695 18.345 44.065 22.215 96.57 20.3 52.18
49.03 57.5 79.19 108.63 73.79 72.76 30.08 56.09 64.32 240.27 64.96 49.7 37.3 90.82 42.68 30.77 101.65 1439 7884 1917 2640 14.2302 52.77 41.325 18.4 44.955 22.255 95.95 20.42 53.25
49.45 57.44 78.73 111.34 74.35 72.12 30.19 56.22 65.02 240.53 65.7 49.45 37.61 90.55 42.63 30.81 103.03 1436 7979 1932 2619 13.7864 53.19 41.205 18.535 44.685 23.175 96.422 20.43 52.98
49.17 58.25 79.5 111.53 74.6 72.5 30.56 55.52 65.28 244.09 65.86 49.35 37.87 90.08 42.75 30.97 102.55 1445 8043 1962 2640 13.9787 53.69 41.3 18.69 44.89 23.21 96.703 20.4 52.97
48.5 58.05 78.77 110.63 74.89 71.9 30.63 55.53 65.68 244.65 66.05 49.07 37.91 90.35 43.1 31.02 103.56 1440 8094 1958 2631 13.8555 52.92 41.53 18.66 44.76 23.145 96.596 20.35 53.35
